ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
289	1	5	3	13	2	2	3	2	4	20	8	4	8	3	8	5
290	1	5	3	13	3	2	3	2	4	20	8	3	4	3	5	5
291	1	5	3	13	3	2	3	2	4	20	8	6	5	3	5	5
292	1	5	3	13	3	2	3	2	4	20	8	6	3	3	5	4
293	1	5	3	13	3	2	3	2	5	20	8	5	4	3	4	4
294	1	5	3	14	3	2	3	2	5	18	8	6	4	3	5	6
295	1	5	3	13	3	2	3	2	4	20	8	5	4	3	4	5
297	1	5	3	13	3	1	3	2	4	20	8	4	4	3	5	6
298	1	5	3	13	2	2	3	2	4	20	8	8	4	3	5	7
299	1	5	3	13	3	2	3	2	4	20	8	5	5	3	7	5
300	1	5	3	13	3	2	3	2	4	20	8	4	4	3	6	4
301	1	5	3	13	3	2	3	2	4	20	8	4	4	3	4	4
302	1	5	3	13	3	2	3	2	4	20	8	4	4	3	5	5
303	1	5	3	13	3	2	3	2	4	20	8	7	4	3	7	8
304	1	5	3	13	3	2	3	2	4	20	8	5	4	3	5	4
305	1	5	3	13	3	2	3	2	4	20	8	5	4	7	6	3
306	3	5	3	13	1	1	3	3	8	21	8	5	7	8	5	3
307	3	5	3	13	1	1	3	3	7	21	8	4	5	7	6	3
308	1	5	3	13	2	2	3	2	4	20	8	5	7	3	6	6
309	1	5	3	13	3	2	3	2	4	20	8	6	4	6	5	3
310	3	5	4	11	2	2	3	3	6	20	8	6	4	3	8	4
311	3	5	4	11	2	1	3	3	6	20	8	5	4	3	6	5
312	2	4	8	15	6	1	5	6	7	21	9	13	7	20	2	10
313	1	3	3	13	2	2	3	2	4	20	8	7	5	3	6	7
314	1	5	3	13	3	2	3	2	4	20	8	4	4	3	5	6
315	1	5	2	13	3	2	3	2	4	20	8	5	3	6	5	5
316	1	5	3	13	3	2	3	2	4	20	8	6	4	3	7	5
317	3	4	3	13	5	3	3	3	4	18	5	2	5	3	4	5
318	1	5	3	13	3	3	3	2	4	20	8	5	4	3	7	8
319	1	5	3	13	3	2	3	2	4	20	8	6	4	3	6	4
320	3	5	3	13	3	2	3	3	6	20	8	7	4	5	5	3
321	3	5	3	12	4	2	3	5	7	18	8	5	4	7	6	5
322	3	5	3	12	4	2	3	5	7	18	8	4	4	6	6	5
323	2	5	3	13	4	2	3	4	7	18	8	5	4	8	7	4
324	1	5	3	13	3	2	2	2	6	5	8	4	4	3	6	5
325	1	5	3	13	2	2	3	2	4	20	8	6	9	3	6	5
326	1	5	3	13	2	2	3	2	4	20	8	5	6	3	6	7
327	3	5	3	13	1	1	3	3	7	21	8	8	5	8	4	3
328	1	5	3	13	3	2	3	2	4	20	8	3	5	3	5	5
329	1	5	3	13	3	2	3	2	4	20	8	5	4	3	6	4
330	3	5	3	13	1	1	3	3	7	21	8	5	5	9	7	3
331	1	5	3	13	3	2	3	2	5	18	8	4	4	3	5	4
332	1	5	3	13	2	2	3	2	4	21	8	8	7	3	3	5
333	1	5	3	13	2	2	3	2	4	21	8	7	6	3	4	5
334	1	5	3	13	2	2	3	2	4	21	8	7	7	3	4	5
335	1	5	3	13	3	2	3	2	4	21	8	5	4	3	4	5
336	1	5	3	13	3	2	3	2	4	21	8	5	4	3	6	4
337	1	5	3	13	3	2	3	2	5	5	8	3	4	3	7	5
338	1	5	3	13	3	2	3	2	5	5	8	3	4	3	6	5
339	1	5	3	13	3	2	3	2	4	21	8	2	4	3	4	4
340	1	5	3	13	3	2	3	2	4	20	8	6	4	4	7	3
341	1	5	3	13	3	2	3	2	4	21	8	6	4	4	7	3
342	1	5	3	13	3	2	3	2	4	21	8	8	4	8	7	3
343	1	5	3	13	3	2	3	2	4	21	8	4	4	3	5	4
344	1	5	3	13	3	2	3	2	4	21	8	4	5	3	5	4
345	3	5	3	13	1	1	3	3	7	22	8	5	5	7	7	3
346	1	5	3	13	3	2	3	2	4	21	8	4	5	3	6	4
347	3	6	3	14	1	1	3	3	7	21	8	6	4	7	8	3
348	3	6	3	14	1	1	3	3	7	21	8	6	4	9	10	3
349	3	6	3	14	1	1	3	3	7	21	8	8	7	10	5	3
350	3	5	3	13	1	1	3	3	8	21	8	6	4	10	6	3
351	1	5	3	13	3	2	3	2	4	20	8	5	4	6	9	3
352	1	5	3	13	3	3	3	2	4	20	8	6	4	3	6	4
353	1	5	3	13	3	2	3	2	4	20	8	4	4	3	4	5
354	1	5	3	13	3	2	3	2	4	20	8	6	5	3	5	4
355	1	5	3	13	3	2	3	2	4	20	8	5	4	3	4	4
356	1	5	3	13	3	2	3	2	4	20	8	4	4	6	7	3
357	1	5	3	13	3	2	3	2	4	21	8	7	4	3	5	4
358	1	5	3	13	3	2	3	2	4	21	8	5	5	3	5	4
359	1	5	3	13	2	2	3	2	3	21	8	4	4	3	7	6
360	3	6	3	14	1	1	3	3	7	21	8	6	6	7	5	3
361	1	5	3	13	3	2	3	2	4	21	8	9	4	3	7	6
362	1	5	3	13	3	2	3	2	4	21	8	5	4	5	7	3
363	1	5	3	13	2	2	3	2	4	21	8	5	6	3	7	6
364	3	6	3	14	1	1	3	3	7	22	8	4	6	5	6	3
365	1	5	3	13	3	2	3	2	4	21	8	6	4	3	6	4
366	1	5	3	13	2	2	3	2	4	21	8	5	7	3	6	5
367	1	5	3	13	3	2	3	2	4	21	8	4	4	3	6	4
368	1	5	3	13	3	2	3	2	4	21	8	5	4	3	4	4
369	1	5	3	13	3	2	3	2	5	18	8	4	4	3	6	6
370	1	5	3	13	2	2	3	2	4	20	8	4	4	3	6	5
371	3	5	3	13	1	1	3	3	7	21	8	5	6	7	8	3
